   category  currentStock  dailySales30dAvg  dailySales90dAvg lastReorderDate lastSaleDate  leadTimeDays  marginPct  reorderPoint  reorderQty  seasonalIndex      skuId                             skuName  stockoutDaysLast90d                supplier  unitCost  unitPrice  regra_bomba  regra_sazonal  regra_zumbi  score_risco
    APPAREL           193             27.99             13.42      2025-10-10   2026-03-27            10       19.5           163        1350           1.13 SKU-008349                 Camiseta Natural 42                   21        Alianþa ComÚrcio     39.56      49.13         True          False        False           70
    APPAREL             7              1.12              1.44      2025-12-26   2026-03-30             5       53.9             6          65           0.72 SKU-008350                     TÛnis Master 40                    1  Ponto Forte Atacadista     23.10      50.14        False          False        False            0
    APPAREL            19              1.95              1.96      2025-10-14   2026-03-26             7       52.4            18          47           1.24 SKU-008363                   TÛnis Nordeste 42                    0   VivaMais DistribuiþÒo    162.83     342.40        False          False        False            0
    APPAREL           104              2.30              2.55      2025-11-19   2026-03-30            21       64.4            63          63           1.07 SKU-008379                Camiseta PrimaCare P                    0        Alianþa ComÚrcio     66.56     186.74        False          False        False            0
    APPAREL            36              1.69              1.55      2025-11-29   2026-03-27            14       51.7            30          47           1.24 SKU-008386                      TÛnis Silver M                    0      Ind·stria Reunidas     72.84     150.89        False          False        False            0
    APPAREL           238              6.58              6.49      2026-03-23   2026-03-31            14       53.4           113         196           0.74 SKU-008395                   Bermuda Aurora 40                    1      Casa & Lar Atacado    127.73     274.18        False          False        False            0
    APPAREL           234             37.80             23.63      2025-10-14   2026-03-28             3       56.3           103         947           0.99 SKU-008403                  Camiseta Premium P                    0            Stock Direct     52.90     121.06        False          False        False            0
    APPAREL            10              1.24              1.24      2026-01-05   2026-03-30             3       54.3             4          54           0.97 SKU-008408                       TÛnis Maxi 40                    1      Ind·stria Reunidas     38.53      84.39        False          False        False            0
    APPAREL            15              1.82              1.84      2026-01-18   2026-03-29             5       54.0            12          57           0.97 SKU-008416                       Meia Master M                    0 PrimeFood Distribuidora    130.55     283.77        False          False        False            0
    APPAREL           119              4.17              3.51      2026-03-05   2026-03-26            10       64.8            53         237           0.81 SKU-008420                        TÛnis Maxi G                    1            Stock Direct     20.73      58.82        False          False        False            0
    APPAREL           193             10.37              8.71      2025-11-17   2026-03-26            10       52.3           133         253           0.97 SKU-008439                          Meia Eco G                    0        Alianþa ComÚrcio    193.10     404.67        False          False        False            0
    APPAREL           108             13.86              6.42      2026-02-24   2026-03-24            10       29.4           170         598           1.56 SKU-008468                        Meia Fresh G                    0   Distribuidora Central     63.86      90.43         True           True        False           85
    APPAREL            47              5.90              5.03      2025-12-25   2026-03-29             3       21.3            23         349           1.01 SKU-008471                   TÛnis Nordeste 40                    0 PrimeFood Distribuidora    127.82     162.44        False          False        False            0
